"","cds","stype","name","sname","snum","dname","dnum","cname","cnum","flag","pcttest","api00","api99","target","growth","sch.wide","comp.imp","both","awards","meals","ell","yr.rnd","mobility","acs.k3","acs.46","acs.core","pct.resp","not.hsg","hsg","some.col","col.grad","grad.sch","avg.ed","full","emer","enroll","api.stu","pw","fpc"
"2831","28662666058796","M","Silverado Middl","Silverado Middle",2831,"Napa Valley Unified",478,"Napa",27,NA,98,660,622,9,38,"Yes","No","No","No",36,8,NA,15,NA,NA,27,96,22,19,26,21,11,2.78999996185303,94,6,895,783,30.97,6194
"3729","34674393431012","H","Burbank (Luther","Burbank (Luther) High",3729,"Sacramento City Unified",620,"Sacramento",33,NA,92,497,463,17,34,"Yes","Yes","Yes","Yes",53,42,NA,18,NA,NA,28,48,34,27,23,14,2,2.24000000953674,98,11,1632,1209,30.97,6194
"1984","19647336019921","E","Westport Height","Westport Heights Elementary",1984,"Los Angeles Unified",401,"Los Angeles",18,NA,100,666,641,8,25,"Yes","Yes","Yes","Yes",59,23,NA,16,18,26,NA,55,6,23,27,42,2,3.10999989509583,75,9,414,369,30.97,6194
"4790","39685446110373","E","Monticello Elem","Monticello Elementary",4790,"Jefferson Elementary",322,"San Joaquin",38,NA,100,801,750,3,51,"Yes","Yes","Yes","Yes",10,2,NA,22,16,NA,NA,99,2,10,39,31,17,3.50999999046326,97,7,226,166,30.97,6194
"2521","19752916022487","E","Wilson Elementa","Wilson Elementary",2521,"San Gabriel Unified",633,"Los Angeles",18,NA,98,765,778,1,-13,"No","No","No","No",26,21,NA,14,19,29,NA,86,4,26,12,54,4,3.26999998092651,86,14,232,188,30.97,6194
"3847","34674476034763","E","Sunrise Element","Sunrise Elementary",3847,"San Juan Unified",636,"Sacramento",33,NA,99,722,698,5,24,"Yes","No","No","No",45,4,NA,26,20,37,NA,93,10,67,14,6,3,2.25999999046326,94,0,267,224,30.97,6194
"402","07617546003966","E","Bancroft Elemen","Bancroft Elementary",402,"Mt. Diablo Unified",473,"Contra Costa",6,NA,100,893,845,NA,48,"Yes","Yes","Yes","Yes",7,4,NA,16,20,30,NA,84,0,3,14,39,43,4.21999979019165,93,4,382,312,30.97,6194
"5526","45700526050405","E","Millville Eleme","Millville Elementary",5526,"Millville Elementary",447,"Shasta",44,NA,100,834,752,2,82,"Yes","Yes","Yes","Yes",41,0,NA,17,18,29,31,97,4,26,29,29,12,3.20000004768372,100,0,173,117,30.97,6194
"637","10621666006159","E","Columbia Elemen","Columbia Elementary",637,"Fresno Unified",253,"Fresno",9,NA,100,447,409,20,38,"Yes","Yes","Yes","Yes",100,51,NA,22,20,29,NA,84,61,19,15,4,2,1.66999995708466,100,7,396,344,30.97,6194
"4858","39686763937406","H","Stagg Senior Hi","Stagg Senior High",4858,"Stockton City Unified",716,"San Joaquin",38,NA,97,582,551,12,31,"Yes","No","No","No",36,14,NA,10,NA,NA,30,94,34,19,26,17,3,2.35999989509583,89,10,2106,1701,30.97,6194
"1068","16739326010565","E","Avenal Elementa","Avenal Elementary",1068,"Reef-Sunset Unified",588,"Kings",15,NA,100,410,372,21,38,"Yes","Yes","Yes","Yes",100,65,NA,30,18,29,NA,81,56,24,16,3,2,1.72000002861023,65,37,581,524,30.97,6194
"6078","56726036084925","M","Hillside Middle","Hillside Middle",6078,"Simi Valley Unified",689,"Ventura",55,NA,99,728,704,5,24,"Yes","Yes","Yes","Yes",16,5,NA,41,NA,31,34,0,0,0,0,0,0,NA,100,0,1125,1058,30.97,6194
"3774","34674396034276","E","Sutterville Ele","Sutterville Elementary",3774,"Sacramento City Unified",620,"Sacramento",33,NA,99,818,790,1,28,"Yes","Yes","Yes","Yes",28,15,NA,18,22,32,NA,70,4,13,22,33,28,3.6800000667572,100,4,351,323,30.97,6194
"2206","19648656021257","M","Palos Verdes In","Palos Verdes Intermediate",2206,"Palos Verdes Penin. Unif.",536,"Los Angeles",18,NA,100,905,885,NA,20,"Yes","Yes","Yes","Yes",2,9,NA,8,NA,33,30,56,0,1,3,30,66,4.59999990463257,90,10,1168,1072,30.97,6194
"4205","36738906104681","M","Fort Irwin Midd","Fort Irwin Middle",4205,"Silver Valley Unified",688,"San Bernardino",35,NA,100,698,675,6,23,"Yes","Yes","Yes","Yes",26,1,NA,58,NA,27,20,79,1,11,42,35,11,3.4300000667572,53,47,639,267,30.97,6194
"3949","36676786035588","E","Walnut Avenue E","Walnut Avenue Elementary",3949,"Chino Valley Unified",131,"San Bernardino",35,NA,98,644,593,10,51,"Yes","Yes","Yes","Yes",52,23,"No",23,20,31,NA,71,21,29,32,15,4,2.52999997138977,84,14,659,533,30.97,6194
"708","10622651035310","H","Reedley High","Reedley High",708,"Kings Canyon Unified",339,"Fresno",9,NA,98,577,553,12,24,"Yes","Yes","Yes","Yes",62,24,NA,4,NA,NA,27,1,46,15,23,15,0,2.07999992370605,88,10,1418,1022,30.97,6194
"148","01612426001622","E","Searles Element","Searles Elementary",148,"New Haven Unified",484,"Alameda",1,NA,100,677,649,8,28,"Yes","No","No","No",40,31,NA,13,20,29,NA,97,20,25,28,17,10,2.71000003814697,100,0,716,615,30.97,6194
"177","01612596001853","E","Glenview Elemen","Glenview Elementary",177,"Oakland Unified",507,"Alameda",1,NA,97,633,618,9,15,"Yes","No","No","No",60,32,NA,9,20,31,NA,54,11,19,37,20,13,3.05999994277954,96,4,276,247,30.97,6194
"2559","20652436023980","E","Madison Element","Madison Elementary",2559,"Madera Unified",415,"Madera",19,NA,100,479,397,20,82,"Yes","Yes","Yes","Yes",92,45,"No",26,20,36,NA,99,53,39,7,1,0,1.55999994277954,88,20,318,274,30.97,6194
"3091","30666476029995","E","Brookhaven Elem","Brookhaven Elementary",3091,"Placentia-Yorba Linda",556,"Orange",29,NA,100,852,829,NA,23,"Yes","Yes","Yes","Yes",4,1,NA,8,20,35,NA,1,0,0,0,33,67,4.67000007629395,100,0,344,310,30.97,6194
"2261","19649071937028","H","Pomona Senior H","Pomona Senior High",2261,"Pomona Unified",570,"Los Angeles",18,NA,98,509,483,16,26,"Yes","Yes","Yes","Yes",68,40,NA,18,NA,NA,29,85,42,24,20,11,2,2.07999992370605,74,26,1264,991,30.97,6194
"208","01612596002216","E","Thornhill Eleme","Thornhill Elementary",208,"Oakland Unified",507,"Alameda",1,NA,96,884,867,NA,17,"Yes","No","No","No",6,8,NA,8,19,29,NA,94,2,5,13,25,55,4.26000022888184,100,0,227,185,30.97,6194
"6027","56725536055396","E","Camarillo Heigh","Camarillo Heights Elementary",6027,"Pleasant Valley Elem",564,"Ventura",55,NA,99,813,785,1,28,"Yes","Yes","Yes","Yes",7,2,NA,17,20,31,NA,99,2,8,27,59,4,3.53999996185303,95,5,346,314,30.97,6194
"2366","19650606023287","E","Victor Elementa","Victor Elementary",2366,"Torrance Unified",744,"Los Angeles",18,NA,99,813,748,3,65,"Yes","Yes","Yes","Yes",21,31,NA,23,18,34,NA,95,3,15,26,33,23,3.58999991416931,92,12,682,495,30.97,6194
"4773","38684786072052","M","Potrero Hill Mi","Potrero Hill Middle",4773,"San Francisco Unified",632,"San Francisco",37,NA,83,482,472,16,10,"No","No","No","No",60,31,NA,11,NA,14,17,76,13,42,23,20,2,2.55999994277954,80,10,453,316,30.97,6194
"1088","17640556105456","E","Cobb Mountain E","Cobb Mountain Elementary",1088,"Middletown Unified",444,"Lake",16,NA,89,804,775,1,29,"Yes","Yes","Yes","No",28,0,NA,23,22,30,NA,83,6,35,29,20,10,2.92000007629395,100,0,207,147,30.97,6194
"2739","27659956026082","E","Chualar Element","Chualar Elementary",2739,"Chualar Union Elementary",134,"Monterey",26,NA,100,447,404,20,43,"Yes","Yes","Yes","Yes",97,82,NA,12,19,26,NA,55,58,20,11,7,4,1.78999996185303,72,0,217,189,30.97,6194
"3606","33752426111033","M","Vista Verde Mid","Vista Verde Middle",3606,"Val Verde Unified",767,"Riverside",32,NA,98,630,628,9,2,"No","No","No","No",44,8,NA,17,NA,33,32,97,14,21,38,19,9,2.89000010490417,78,22,1252,965,30.97,6194
"764","10752756111553","M","Foothill Middle","Foothill Middle",764,"Sierra Unified",686,"Fresno",9,NA,100,739,735,3,4,"Yes","No","No","No",37,0,NA,12,NA,28,26,84,7,34,25,19,15,3.00999999046326,100,0,446,387,30.97,6194
"3412","33670826032106","E","Hemet Elementar","Hemet Elementary",3412,"Hemet Unified",298,"Riverside",32,NA,100,658,634,8,24,"Yes","Yes","Yes","Yes",86,21,"No",25,20,31,NA,90,32,36,24,6,2,2.09999990463257,90,6,611,486,30.97,6194
"2497","19734526022388","E","Villacorta Elem","Villacorta Elementary",2497,"Rowland Unified",619,"Los Angeles",18,NA,100,564,519,14,45,"Yes","Yes","Yes","Yes",81,50,NA,18,20,28,NA,55,33,29,24,11,3,2.23000001907349,63,35,596,504,30.97,6194
"526","07618046108161","E","Golden View Ele","Golden View Elementary",526,"San Ramon Valley Unified",650,"Contra Costa",6,NA,100,894,860,NA,34,"Yes","Yes","Yes","Yes",0,3,NA,9,20,31,NA,99,0,4,10,41,45,4.28000020980835,89,11,390,356,30.97,6194
"4028","36677106114052","E","Date Elementary","Date Elementary",4028,"Fontana Unified",238,"San Bernardino",35,NA,96,460,429,19,31,"Yes","Yes","Yes","Yes",93,49,"No",23,19,30,NA,14,51,24,17,8,0,1.83000004291534,76,24,483,409,30.97,6194
"947","15634796112783","E","Columbia Elemen","Columbia Elementary",947,"Fruitvale Elementary",254,"Kern",14,NA,100,787,770,2,17,"Yes","Yes","Yes","Yes",19,1,NA,20,20,30,NA,81,1,17,39,27,16,3.39000010490417,92,8,381,310,30.97,6194
"2434","19734376012389","E","Roosevelt Eleme","Roosevelt Elementary",2434,"Compton Unified",153,"Los Angeles",18,NA,100,494,485,16,9,"No","No","No","No",97,71,NA,20,20,32,NA,46,39,36,13,11,1,1.98000001907349,26,78,933,847,30.97,6194
"763","10752756005755","E","Auberry Element","Auberry Elementary",763,"Sierra Unified",686,"Fresno",9,NA,100,772,698,5,74,"Yes","Yes","Yes","Yes",37,0,NA,11,19,22,NA,83,8,34,28,17,14,2.95000004768372,100,0,253,233,30.97,6194
"3352","33669776031595","M","Wells Intermedi","Wells Intermediate",3352,"Alvord Unified",19,"Riverside",32,NA,97,537,513,14,24,"Yes","No","No","No",52,37,NA,20,NA,NA,30,91,41,26,24,9,1,2.03999996185303,59,38,841,640,30.97,6194
"253","01613096002547","E","Dayton Elementa","Dayton Elementary",253,"San Lorenzo Unified",638,"Alameda",1,NA,99,676,622,9,54,"Yes","Yes","Yes","Yes",27,26,NA,17,21,32,NA,75,12,24,37,23,4,2.8199999332428,100,0,397,325,30.97,6194
"2930","30664806027866","E","Cawthon (Robert","Cawthon (Robert C.) Elementary",2930,"Cypress Elementary",171,"Orange",29,NA,100,868,834,NA,34,"Yes","Yes","Yes","Yes",19,5,NA,8,20,30,NA,100,4,17,42,37,0,3.11999988555908,100,0,308,269,30.97,6194
"4721","38684786041081","E","Golden Gate Ele","Golden Gate Elementary",4721,"San Francisco Unified",632,"San Francisco",37,NA,91,544,496,15,48,"Yes","Yes","Yes","No",84,54,NA,7,18,20,NA,82,35,42,14,6,2,1.98000001907349,58,21,215,190,30.97,6194
"5108","42691466045314","E","Main Elementary","Main Elementary",5108,"Carpinteria Unified",112,"Santa Barbara",41,NA,100,740,721,4,19,"Yes","Yes","Yes","Yes",42,29,NA,9,20,30,NA,91,22,15,28,22,13,2.88000011444092,94,6,339,307,30.97,6194
"1187","19642956011589","E","Erwin (Thomas E","Erwin (Thomas E.) Elementary",1187,"Bassett Unified",48,"Los Angeles",18,NA,100,584,530,14,54,"Yes","Yes","Yes","Yes",82,28,NA,14,21,34,NA,1,60,20,0,20,0,1.79999995231628,68,32,532,476,30.97,6194
"1393","19645926014013","E","York Elementary","York Elementary",1393,"Hawthorne Elementary",293,"Los Angeles",18,NA,98,548,485,16,63,"Yes","Yes","Yes","Yes",90,58,"No",22,19,27,NA,90,30,33,28,6,2,2.17000007629395,47,49,574,447,30.97,6194
"5473","44697996049829","E","Alianza Element","Alianza Elementary",5473,"Pajaro Valley Joint Unif",529,"Santa Cruz",43,NA,100,382,404,20,-22,"No","Yes","No","No",70,84,NA,18,19,29,NA,98,56,24,10,4,5,1.77999997138977,81,14,443,391,30.97,6194
"4486","37683386039267","E","Boone Elementar","Boone Elementary",4486,"San Diego City Unified",630,"San Diego",36,NA,99,706,701,5,5,"Yes","No","No","No",62,15,NA,13,21,28,NA,87,12,27,27,29,6,2.90000009536743,100,2,645,598,30.97,6194
"3620","34673146033005","E","Mack (Charles E","Mack (Charles E.) Elementary",3620,"Elk Grove Unified",209,"Sacramento",33,NA,100,584,527,14,57,"Yes","Yes","Yes","Yes",82,36,"No",30,21,31,NA,87,23,33,35,7,3,2.33999991416931,91,6,728,607,30.97,6194
"456","07617960730291","H","Middle College ","Middle College High",456,"West Contra Costa Unified",796,"Contra Costa",6,NA,98,754,755,2,-1,"No","No","No","No",21,12,NA,43,NA,NA,23,95,25,18,26,26,6,2.69000005722046,80,20,174,158,30.97,6194
"1936","19647336019434","E","Tarzana Element","Tarzana Elementary",1936,"Los Angeles Unified",401,"Los Angeles",18,NA,99,638,531,13,107,"Yes","Yes","Yes","Yes",74,33,NA,15,18,31,NA,53,11,30,19,38,2,2.89000010490417,54,50,346,298,30.97,6194
"4596","37683386112726","E","Dingeman (Rober","Dingeman (Robert E.) Elementary",4596,"San Diego City Unified",630,"San Diego",36,NA,99,883,864,NA,19,"Yes","Yes","Yes","Yes",4,3,NA,9,20,30,NA,93,1,10,9,52,28,3.98000001907349,97,3,556,526,30.97,6194
"2020","19647336058093","M","Lawrence (Ernes","Lawrence (Ernest) Middle",2020,"Los Angeles Unified",401,"Los Angeles",18,NA,98,660,642,8,18,"Yes","No","No","No",52,22,NA,14,NA,32,31,71,12,17,25,36,10,3.14000010490417,77,16,1911,1647,30.97,6194
"5297","43695836095384","M","Britton (Lewis ","Britton (Lewis H.) Middle",5297,"Morgan Hill Unified",464,"Santa Clara",42,NA,98,708,716,4,-8,"No","No","No","No",20,13,NA,13,NA,NA,29,35,3,12,29,29,28,3.67000007629395,94,6,1135,989,30.97,6194
"3764","34674396034169","E","Nicholas Elemen","Nicholas Elementary",3764,"Sacramento City Unified",620,"Sacramento",33,NA,99,607,529,14,78,"Yes","Yes","Yes","Yes",100,41,NA,29,22,33,NA,68,33,44,16,7,1,2,100,9,429,357,30.97,6194
"950","15635036009559","E","Fairview Elemen","Fairview Elementary",950,"Greenfield Union Elem",278,"Kern",14,NA,98,544,493,15,51,"Yes","Yes","Yes","Yes",94,15,NA,19,18,23,NA,98,67,23,8,1,1,1.44000005722046,94,6,336,279,30.97,6194
"101","01611926001069","E","Markham Element","Markham Elementary",101,"Hayward Unified",294,"Alameda",1,NA,100,607,604,10,3,"No","No","No","No",58,19,NA,22,19,32,NA,63,9,24,38,22,7,2.95000004768372,97,6,412,331,30.97,6194
"3145","30666706099816","E","Greenville Fund","Greenville Fundamental",3145,"Santa Ana Unified",653,"Orange",29,NA,100,806,815,NA,-9,"Yes","No","No","No",32,14,NA,20,21,30,NA,77,10,24,43,14,9,2.88000011444092,91,9,695,673,30.97,6194
"3603","33752426108047","E","Victoriano Elem","Victoriano Elementary",3603,"Val Verde Unified",767,"Riverside",32,NA,95,708,701,5,7,"Yes","No","No","No",44,7,NA,21,23,29,NA,99,15,28,34,18,5,2.70000004768372,86,7,457,348,30.97,6194
"2562","20652436024012","E","La Vina Element","La Vina Elementary",2562,"Madera Unified",415,"Madera",19,NA,100,487,435,18,52,"Yes","Yes","Yes","Yes",97,86,NA,18,20,31,NA,77,84,15,2,0,0,1.17999994754791,93,0,213,186,30.97,6194
"4512","37683386039630","E","Fulton Elementa","Fulton Elementary",4512,"San Diego City Unified",630,"San Diego",36,NA,100,682,615,9,67,"Yes","Yes","Yes","Yes",78,16,NA,19,19,30,NA,76,11,27,33,23,7,2.85999989509583,84,9,300,284,30.97,6194
"641","10621666006217","E","Ericson Element","Ericson Elementary",641,"Fresno Unified",253,"Fresno",9,NA,99,513,493,15,20,"Yes","No","No","No",88,37,NA,26,19,28,NA,64,35,29,24,10,2,2.14000010490417,100,2,551,482,30.97,6194
"1121","19642126061220","M","Haskell (Pliny ","Haskell (Pliny Fisk) Middle",1121,"ABC Unified",1,"Los Angeles",18,NA,99,644,613,9,31,"Yes","No","No","No",36,14,NA,13,NA,NA,29,95,16,23,30,23,8,2.82999992370605,86,14,608,485,30.97,6194
"4880","39686766042782","E","Tyler Skills El","Tyler Skills Elementary",4880,"Stockton City Unified",716,"San Joaquin",38,NA,99,625,578,11,47,"Yes","Yes","Yes","Yes",59,8,"No",19,19,28,NA,74,18,44,25,13,1,2.35999989509583,93,5,559,469,30.97,6194
"993","15636851531987","H","Desert Junior/S","Desert Junior/Senior High",993,"Muroc Joint Unified",476,"Kern",14,NA,100,720,704,5,16,"Yes","Yes","Yes","Yes",15,0,NA,21,NA,NA,27,99,0,17,38,34,11,3.38000011444092,79,18,533,417,30.97,6194
"969","15635291534775","H","North High","North High",969,"Kern Union High",334,"Kern",14,NA,97,547,529,14,18,"Yes","No","No","No",38,3,NA,8,NA,NA,26,93,15,31,33,17,4,2.65000009536743,99,11,1467,858,30.97,6194
"1752","19647336017446","E","Hammel Street E","Hammel Street Elementary",1752,"Los Angeles Unified",401,"Los Angeles",18,NA,97,467,442,18,25,"Yes","Yes","Yes","Yes",100,70,NA,16,19,28,NA,65,52,32,9,6,1,1.73000001907349,77,17,621,528,30.97,6194
"4480","37683386039143","E","Audubon Element","Audubon Elementary",4480,"San Diego City Unified",630,"San Diego",36,NA,100,612,528,14,84,"Yes","Yes","Yes","Yes",79,34,NA,15,20,31,NA,85,26,31,25,14,4,2.38000011444092,82,7,354,319,30.97,6194
"4062","36678196036222","E","Edison Elementa","Edison Elementary",4062,"Ontario-Montclair Elem",513,"San Bernardino",35,NA,100,601,574,11,27,"Yes","Yes","Yes","Yes",65,40,NA,15,19,30,NA,96,30,27,27,13,2,2.29999995231628,92,8,338,304,30.97,6194
"2683","24657716025621","E","Franklin Elemen","Franklin Elementary",2683,"Merced City Elementary",440,"Merced",23,NA,99,595,581,11,14,"Yes","No","No","No",82,45,"No",17,19,30,NA,98,29,22,34,13,2,2.36999988555908,91,6,497,461,30.97,6194
